human_H3K27ac_down.txt	human_H3K27ac_up.txt	human_H3K27me3_down.txt	human_H3K27me3_up.txt	human_H3K4me3_down.txt	human_H3K4me3_up.txt	human_H3K9ac_down.txt	human_H3K9ac_up.txt	human_H3K9me3_down.txt	human_H3K9me3_up.txt
ENSG00000200851	ENSG00000156587	ENSG00000198431	ENSG00000123473	ENSG00000119929	ENSG00000162385	ENSG00000073111	ENSG00000182183		ENSG00000120054
	ENSG00000156574	ENSG00000050555	ENSG00000166321	ENSG00000197019	ENSG00000067191	ENSG00000086544	ENSG00000174348		ENSG00000172663
	ENSG00000197429	ENSG00000126878	ENSG00000162368	ENSG00000167565	ENSG00000081870	ENSG00000077312	ENSG00000125124		ENSG00000198015
	ENSG00000156603	ENSG00000198488	ENSG00000111481	ENSG00000077312	ENSG00000124942	ENSG00000110717	ENSG00000102891		ENSG00000120798
	ENSG00000154768	ENSG00000151136	ENSG00000167230	ENSG00000110717	ENSG00000203985	ENSG00000166848	ENSG00000162385		ENSG00000143033
	ENSG00000129270	ENSG00000143028	ENSG00000117862	ENSG00000166848	ENSG00000215883	ENSG00000127022	ENSG00000067191		ENSG00000162341
	ENSG00000123472	ENSG00000187855	ENSG00000181991	ENSG00000132740	ENSG00000102962	ENSG00000132740	ENSG00000081870		ENSG00000166189
	ENSG00000140795	ENSG00000075035	ENSG00000149483	ENSG00000085733	ENSG00000102970	ENSG00000167625	ENSG00000124942		ENSG00000137522
	ENSG00000129636	ENSG00000196358	ENSG00000165637	ENSG00000076928	ENSG00000005194	ENSG00000104853	ENSG00000215883		ENSG00000184154
	ENSG00000089723	ENSG00000182103	ENSG00000196405	ENSG00000172890	ENSG00000006555	ENSG00000189114	ENSG00000102962		ENSG00000166153
	ENSG00000177082	ENSG00000165816	ENSG00000157193	ENSG00000167625	ENSG00000110958	ENSG00000011052	ENSG00000102970		ENSG00000156374
	ENSG00000204006	ENSG00000186150	ENSG00000185033	ENSG00000148835	ENSG00000162600	ENSG00000136003	ENSG00000006555		ENSG00000148835
	ENSG00000167230	ENSG00000143125	ENSG00000067191	ENSG00000167130	ENSG00000025423	ENSG00000148308	ENSG00000143001		ENSG00000175591
	ENSG00000177200	ENSG00000141194	ENSG00000081870	ENSG00000211460	ENSG00000131747	ENSG00000125743	ENSG00000110958		ENSG00000175581
	ENSG00000149506	ENSG00000153951	ENSG00000215883	ENSG00000104853	ENSG00000184277	ENSG00000011478	ENSG00000198056		ENSG00000175575
	ENSG00000117862	ENSG00000171102	ENSG00000116221	ENSG00000136045	ENSG00000177558	ENSG00000111271	ENSG00000025423		ENSG00000139372
	ENSG00000213231	ENSG00000167419	ENSG00000196547	ENSG00000189114	ENSG00000105668	ENSG00000182919	ENSG00000170426		ENSG00000162636
	ENSG00000167992	ENSG00000204869	ENSG00000141736	ENSG00000011052	ENSG00000221873	ENSG00000179295	ENSG00000148604		ENSG00000134186
	ENSG00000157766	ENSG00000196990	ENSG00000073605	ENSG00000136003	ENSG00000161270	ENSG00000063177	ENSG00000131747		ENSG00000162139
	ENSG00000116157	ENSG00000148386	ENSG00000110958	ENSG00000117877	ENSG00000167604	ENSG00000063176	ENSG00000156411		ENSG00000136010
	ENSG00000182183	ENSG00000183273	ENSG00000198056	ENSG00000012061	ENSG00000173757	ENSG00000165688	ENSG00000184277		ENSG00000121957
	ENSG00000125124	ENSG00000013293	ENSG00000162600	ENSG00000148308	ENSG00000196357	ENSG00000089157	ENSG00000184502		ENSG00000197780
	ENSG00000102891	ENSG00000157782	ENSG00000025423	ENSG00000137494	ENSG00000108825	ENSG00000142541	ENSG00000172410		ENSG00000013503
	ENSG00000162385	ENSG00000166736	ENSG00000131747	ENSG00000125743	ENSG00000077254	ENSG00000126458	ENSG00000173757		ENSG00000198382
	ENSG00000157193	ENSG00000135299	ENSG00000176485	ENSG00000011478	ENSG00000175513	ENSG00000126461	ENSG00000108825		ENSG00000136003
	ENSG00000081870	ENSG00000142515	ENSG00000168005	ENSG00000110921	ENSG00000181019	ENSG00000148824	ENSG00000077254		ENSG00000135093
	ENSG00000124942	ENSG00000167751	ENSG00000184277	ENSG00000111271	ENSG00000174669	ENSG00000164897	ENSG00000198812		ENSG00000137494
	ENSG00000203985	ENSG00000129451	ENSG00000125149	ENSG00000042429	ENSG00000142867	ENSG00000133612	ENSG00000175513		ENSG00000110921
	ENSG00000215883	ENSG00000172809	ENSG00000179364	ENSG00000179295	ENSG00000117174	ENSG00000111325	ENSG00000174669		ENSG00000139437
	ENSG00000102962	ENSG00000171595	ENSG00000204815	ENSG00000063177	ENSG00000174165	ENSG00000182196	ENSG00000174165		ENSG00000166575
	ENSG00000102970	ENSG00000196169	ENSG00000138160	ENSG00000063176	ENSG00000173237	ENSG00000214160	ENSG00000173237		ENSG00000111229
