human_H3K27ac_down.txt	human_H3K27ac_up.txt	human_H3K27me3_down.txt	human_H3K27me3_up.txt	human_H3K4me3_down.txt	human_H3K4me3_up.txt	human_H3K9ac_down.txt	human_H3K9ac_up.txt	human_H3K9me3_down.txt	human_H3K9me3_up.txt
			ENSG00000127399						ENSG00000220323
			ENSG00000136521						ENSG00000151806
			ENSG00000142528						ENSG00000129691
			ENSG00000180834						ENSG00000177873
			ENSG00000062822						ENSG00000172888
			ENSG00000106615						ENSG00000125968
			ENSG00000118412						ENSG00000171552
			ENSG00000145191						ENSG00000088325
			ENSG00000163093						ENSG00000011426
			ENSG00000138385						ENSG00000181061
			ENSG00000196584						ENSG00000101346
			ENSG00000126870						ENSG00000147117
			ENSG00000130349						ENSG00000088305
			ENSG00000105568						ENSG00000101367
			ENSG00000204595						ENSG00000137106
			ENSG00000105619						ENSG00000128040
			ENSG00000105618						ENSG00000197779
			ENSG00000180228						ENSG00000078699
			ENSG00000041802						ENSG00000104365
			ENSG00000170889						ENSG00000131061
			ENSG00000145107						ENSG00000078747
			ENSG00000160439						ENSG00000165102
			ENSG00000197483						ENSG00000131067
			ENSG00000197714						ENSG00000152348
			ENSG00000083828						ENSG00000088727
			ENSG00000144381						ENSG00000078814
			ENSG00000013441						ENSG00000105953
			ENSG00000115934						ENSG00000088298
			ENSG00000064012						ENSG00000105968
			ENSG00000135521						ENSG00000137547
			ENSG00000131013						ENSG00000126001
			ENSG00000131023						ENSG00000177479
			ENSG00000120253						ENSG00000181751
			ENSG00000123992						ENSG00000101335
			ENSG00000168395						ENSG00000149636
			ENSG00000206937						ENSG00000187210
			ENSG00000212534						ENSG00000146731
			ENSG00000201754						ENSG00000118705
			ENSG00000212447						ENSG00000197122
			ENSG00000202111						ENSG00000132792
									ENSG00000126522
									ENSG00000004534
									ENSG00000154710
									ENSG00000126524
									ENSG00000165118
									ENSG00000064652
									ENSG00000101442
									ENSG00000186687
									ENSG00000101049
									ENSG00000101052
									ENSG00000101057
									ENSG00000101076
									ENSG00000124120
									ENSG00000168734
									ENSG00000204424
									ENSG00000166913
									ENSG00000101109
									ENSG00000155329
									ENSG00000164953
									ENSG00000124145
									ENSG00000198641
									ENSG00000204392
									ENSG00000157303
									ENSG00000164941
									ENSG00000145833
									ENSG00000181904
									ENSG00000113621
									ENSG00000124104
									ENSG00000101473
									ENSG00000132549
									ENSG00000006606
									ENSG00000106178
									ENSG00000005486
									ENSG00000127948
									ENSG00000100979
									ENSG00000127952
									ENSG00000100982
									ENSG00000112984
									ENSG00000146013
									ENSG00000106211
									ENSG00000044115
									ENSG00000136937
									ENSG00000155097
									ENSG00000131508
									ENSG00000095380
									ENSG00000106785
									ENSG00000116096
									ENSG00000106789
									ENSG00000163686
									ENSG00000124151
									ENSG00000119514
									ENSG00000124198
									ENSG00000131495
									ENSG00000065911
									ENSG00000163632
									ENSG00000124228
									ENSG00000197818
									ENSG00000124226
									ENSG00000221956
									ENSG00000172216
									ENSG00000124171
									ENSG00000124243
									ENSG00000106701
									ENSG00000189376
									ENSG00000156795
									ENSG00000147684
									ENSG00000176407
									ENSG00000156831
									ENSG00000152292
									ENSG00000184090
									ENSG00000115486
									ENSG00000145375
									ENSG00000165185
									ENSG00000176386
									ENSG00000104472
									ENSG00000114021
									ENSG00000164284
									ENSG00000085871
									ENSG00000155850
									ENSG00000081154
									ENSG00000013455
									ENSG00000130429
									ENSG00000136888
									ENSG00000115042
									ENSG00000132912
									ENSG00000181135
									ENSG00000124507
									ENSG00000095261
									ENSG00000164574
									ENSG00000155506
									ENSG00000213337
									ENSG00000109686
									ENSG00000155508
									ENSG00000082515
									ENSG00000185955
									ENSG00000106351
									ENSG00000148187
									ENSG00000185414
									ENSG00000136940
									ENSG00000101882
									ENSG00000011454
									ENSG00000146828
									ENSG00000038274
									ENSG00000185585
									ENSG00000136918
									ENSG00000186103
									ENSG00000113719
									ENSG00000065485
									ENSG00000112578
									ENSG00000112599
									ENSG00000024048
									ENSG00000146223
									ENSG00000171611
									ENSG00000124713
									ENSG00000160867
									ENSG00000165704
									ENSG00000095370
									ENSG00000198055
									ENSG00000073111
									ENSG00000125630
									ENSG00000136908
									ENSG00000125611
									ENSG00000177646
									ENSG00000148337
									ENSG00000169704
									ENSG00000106976
									ENSG00000204659
									ENSG00000167113
									ENSG00000167118
									ENSG00000124688
									ENSG00000119392
									ENSG00000167136
									ENSG00000175283
									ENSG00000081307
									ENSG00000167130
									ENSG00000179082
									ENSG00000136819
									ENSG00000211460
									ENSG00000114054
									ENSG00000148358
									ENSG00000205085
									ENSG00000135248
									ENSG00000097007
									ENSG00000126878
									ENSG00000144231
									ENSG00000128607
									ENSG00000115762
									ENSG00000146955
									ENSG00000080345
									ENSG00000114346
									ENSG00000136521
									ENSG00000118412
									ENSG00000145191
									ENSG00000161202
									ENSG00000138399
									ENSG00000128708
									ENSG00000126870
									ENSG00000130349
									ENSG00000181092
									ENSG00000155115
									ENSG00000180228
									ENSG00000115934
									ENSG00000003402
									ENSG00000064012
									ENSG00000131013
									ENSG00000185068
									ENSG00000123992
									ENSG00000144589
									ENSG00000144524
									ENSG00000168395
									ENSG00000202515
									ENSG00000202111
